rel_power_dB_ch1,rel_power_dB_ch2
98.68030766195079,55.21150400815875
100.90097020320493,56.54315368605449
94.45027917559742,57.04469421566417
91.81640523574599,55.586036099122246
89.32270679157817,53.17263527841537
90.09960810198565,50.64427131649511
98.42325994228183,46.40005388004552
86.51001327269147,42.73118983074487
85.63008592836879,40.16796034213438
84.16366843832866,35.95115326286531
83.23697875744986,32.31393051035238
78.56771654854336,27.71751446704974
79.67685815384544,25.26514583451322
90.28009730429274,21.249469682422106
92.37073165023173,18.943293585986382
93.59916510940585,16.769469531338096
98.35338333473334,16.262011208002487
81.5736855796188,12.472703156322591
85.99770559704591,11.02389042222184
79.09523765912529,9.81733062299513
78.16776955289333,8.845934636694047
82.47594310400478,8.432900619012926
78.07342533741189,7.575156806352844
77.92678259268362,7.3253521442005365
84.62184995390675,7.422387307695921
79.55582194300591,6.913269127201552
79.63232489616811,6.8125953553521015
80.94669288926832,6.7491541646862245
80.07705291689993,6.634256900103786
77.54005050687799,6.580164147429969
75.82930732568863,6.5208955822396035
74.05620225736178,6.538905298110684
74.04999837130222,6.677654417802579
69.63347011223665,6.56150673932796
66.97488258300129,6.608695110733905
65.21955331259117,6.645048740897586
61.68035336099268,6.703239858781195
58.96982916907765,6.794981393935906
57.27570819205052,6.849959934422756
54.6375867067817,6.79030144194973
52.6231536889989,6.7816662533868595
50.9989099944232,6.969878497561609
49.120305591708366,7.425262659439255
50.47694376729941,8.257680647237109
46.39046216689796,9.806782837233598
47.15094185605863,10.759390283526677
69.13222712176241,14.448599338453
38.36581037218825,23.565549419082302
36.318083600449256,28.874061756303973
